	AA_MEAN	AA_STD	CRAT_MEAN	CRAT_STD
0	3.1210069523197093e-09	7.240434115174397e-11	2.1086917551637903e-07	2.4839484468182405e-09
1	3.179382809854072e-09	7.643109853483167e-11	2.2921692755487906e-07	2.7782064221456476e-09
2	3.2359777294203646e-09	8.658418211428641e-11	2.4878369366465737e-07	3.3513806864191864e-09
3	3.2725073399294994e-09	9.409888614852044e-11	2.702225312316308e-07	3.9437226335627265e-09
4	3.403933991249257e-09	1.024637070736809e-10	2.932619301672511e-07	4.510852159836325e-09
5	3.4773755365886962e-09	1.1695304907845021e-10	3.180959923916959e-07	5.367886939264221e-09
6	3.487348620882779e-09	1.262715669074146e-10	3.460020550669009e-07	6.343295829910236e-09
7	3.8003215070845265e-09	1.4085822264629212e-10	3.7597591331413276e-07	7.039101759717698e-09
8	3.742542552516723e-09	1.5197309309763956e-10	4.086184303160645e-07	8.355515624448148e-09
9	4.110829361470368e-09	1.6442934401688413e-10	4.433248723081213e-07	8.821836117155195e-09
10	4.151185422912959e-09	1.8919320543669083e-10	4.812470253681239e-07	1.1075038438666156e-08
11	4.2967076045278376e-09	2.1898041771368138e-10	5.233690846387789e-07	1.3479146587474537e-08
12	4.5925688558581246e-09	2.376525801311515e-10	5.691024556606461e-07	1.491404437359074e-08
13	4.824448177955661e-09	2.5840962835179113e-10	6.163597004430234e-07	1.65723638273817e-08
14	5.366527914519824e-09	2.965580122497102e-10	6.701031678330803e-07	1.8587498648021302e-08
15	5.161262850620992e-09	3.173971885393969e-10	7.289804822482725e-07	2.2669546155087598e-08
16	6.071632922173432e-09	3.6449722972684557e-10	7.908117693121572e-07	2.4078545122834624e-08
17	6.050370411704435e-09	4.1311685903260166e-10	8.580624334626712e-07	2.9506402809066736e-08
18	6.497841853910663e-09	4.638977772769772e-10	9.326702919651012e-07	3.352721962024105e-08
19	7.666107351178773e-09	5.3198598916851e-10	1.013106138165772e-06	3.520423660523744e-08
20	7.251879972802034e-09	5.728545890099765e-10	1.1017731160294571e-06	4.363160268681121e-08
21	8.804986102556849e-09	6.758285842710969e-10	1.1913813219579448e-06	4.6876063192985815e-08
22	9.224107790175741e-09	7.395991777764348e-10	1.3003590006526349e-06	5.249288448632905e-08
23	9.9256319958651e-09	8.539857168537737e-10	1.4083452104356551e-06	6.158837162166598e-08
24	1.1083040412558615e-08	9.876058290756932e-10	1.5338082606727484e-06	6.887620535387053e-08
25	1.209953447698451e-08	1.0476319001569687e-09	1.6717428106802444e-06	7.395445455349453e-08
26	1.3163439334824432e-08	1.2603139838461565e-09	1.8073356505977842e-06	8.77242439724741e-08
