	A_tot	Perf_tot	Perf_area
0	1.1030263991554527e-05	7	4.608823525657261e-06
1	9.593559036925372e-06	3	2.220504922284476e-06
2	1.1633715795427778e-05	6	3.904772541319406e-06
3	9.816738689633136e-06	7	4.2288095569627245e-06
4	1.5850834548754937e-05	8	8.898035716783174e-06
5	8.928767506699235e-06	1	9.689154952364979e-07
6	1.0099994495385793e-05	4	1.7973552225231705e-06
7	1.3235438366370287e-05	6	6.203813939661109e-06
8	1.2199788903166666e-05	6	4.159448815734539e-06
9	8.378698233568444e-06	3	1.390162204867807e-06
10	1.0582577893033641e-05	4	2.8480809972679494e-06
11	9.191946983290643e-06	4	2.264695755081606e-06
12	8.213895546740554e-06	1	4.116545095565075e-07
13	1.1126176053464172e-05	7	4.565634078667663e-06
14	8.293645273238264e-06	2	1.927653406364602e-06
15	1.1913028897913165e-05	4	4.9745695360871845e-06
16	1.0207704487693144e-05	2	1.0300004548635785e-06
17	1.0951516464115981e-05	4	2.8438923348726137e-06
18	1.0011580740525221e-05	2	8.154389000903224e-07
19	7.468837921055102e-06	1	5.100885832251822e-07
20	1.06254410384423e-05	2	2.3964486448690925e-06
21	1.4118293228124847e-05	6	5.138362835776438e-06
22	1.125722298302761e-05	4	4.129213638046912e-06
23	9.909347062592557e-06	1	1.2575110477211865e-06
24	9.24516529958579e-06	5	2.8249477117347623e-06
25	9.279088390226e-06	4	2.742719543060946e-06
26	1.3527254576712839e-05	6	5.537996765757372e-06
27	1.0117976527112935e-05	2	1.7700821144809783e-06
28	9.228060114268158e-06	3	1.7301831281925979e-06
29	9.510882597426468e-06	4	2.3157906261997172e-06
30	1.0657959468128977e-05	7	4.668967009746158e-06
31	6.989668959024906e-06	1	3.699818599335423e-07
32	1.0565114048089911e-05	4	3.4770204223538494e-06
33	1.0536605433147989e-05	4	3.1214934806579398e-06
34	1.3022398029638017e-05	7	6.080704669902168e-06
35	7.7139372185913e-06	1	1.3755435420637464e-06
36	9.046737576120928e-06	4	2.0267507132552204e-06
37	8.855240568983493e-06	4	2.11614394138036e-06
38	8.695522805511608e-06	3	2.3015788990774988e-06
39	1.1943784165378592e-05	5	5.187951588786565e-06
40	1.0554514342735812e-05	6	3.951188442171031e-06
41	1.1670523685367208e-05	3	5.976359602606694e-06
42	1.0303127692137466e-05	5	3.5612778667280164e-06
43	9.864764550226737e-06	4	2.044214505492949e-06
44	9.591394037772497e-06	5	2.786191034250082e-06
45	1.0274842721813394e-05	3	2.37441353663896e-06
46	9.331868568798938e-06	4	2.463314934440818e-06
47	8.334755519246034e-06	2	1.0738971099619272e-06
48	1.0798099104437483e-05	5	3.7711002108876023e-06
49	9.018862144868894e-06	2	9.433357922245249e-07
50	7.412628603258994e-06	3	1.350132789322391e-06
51	1.1290893227909503e-05	4	4.044154015529243e-06
52	1.1398780474412065e-05	5	3.949679078898644e-06
53	8.87112035392663e-06	0	0.0
54	1.127061212087711e-05	4	4.0556255977130046e-06
55	1.0087948112581065e-05	4	3.420862128268749e-06
56	8.669512024174664e-06	2	1.1479510902550332e-06
57	7.096614803990628e-06	5	2.1326203107557625e-06
58	8.409016861265206e-06	1	4.856026894252629e-07
59	1.3787204631536612e-05	5	5.6708424423014425e-06
60	1.0607828370806068e-05	4	3.375112176897983e-06
61	1.7257401204236213e-05	4	8.115379875569695e-06
62	6.941180676077764e-06	2	9.025337285179723e-07
63	1.2090867119130028e-05	7	5.495165217988988e-06
64	1.1586341819978468e-05	5	4.0420075699559295e-06
65	1.2554545963999716e-05	7	5.4323225555460316e-06
66	1.0317370639832261e-05	3	1.2954015822894038e-06
67	1.1323899284846249e-05	7	4.288201452633804e-06
68	1.0933428229712362e-05	4	3.1773346518000206e-06
69	8.76538617905939e-06	2	1.1701815475637008e-06
70	9.154476128001799e-06	3	1.8928569859521415e-06
71	8.335138678403017e-06	5	2.672745511055857e-06
72	9.867675984983066e-06	4	3.3026223895014403e-06
73	8.435927834295458e-06	0	0.0
74	9.150724227919892e-06	3	2.603552604538001e-06
75	1.0510500435138496e-05	6	4.594925778742764e-06
76	9.006930025101368e-06	3	2.1729598936777495e-06
77	1.1721394443602352e-05	2	2.109825845048315e-06
78	7.6194570101664735e-06	2	8.817822261735832e-07
79	7.738680074825713e-06	2	8.694246799003576e-07
80	3.087072521048786e-05	8	2.3466284079228994e-05
81	1.1067759640047762e-05	4	3.1826971649531733e-06
82	8.751542401097947e-06	2	1.0333865815509103e-06
83	1.0144760480490844e-05	3	2.9978329707182825e-06
84	9.097793369855365e-06	4	2.0735229621863593e-06
85	9.238879836160114e-06	6	3.7994629652079415e-06
86	1.2580094068353096e-05	6	5.0541819537585475e-06
87	1.090764012168255e-05	2	2.9295627264942496e-06
88	9.9178492189538e-06	4	1.999063843402285e-06
89	9.490135090280547e-06	2	1.9361332793623324e-06
90	8.60550409659491e-06	2	1.928335694365577e-06
91	1.206282973778292e-05	5	6.2281611286506005e-06
92	1.0214382151724606e-05	3	1.632971288214423e-06
93	1.1495221754037658e-05	7	4.7757902800663654e-06
94	1.0870871622514876e-05	1	2.0613892648219674e-06
95	1.1474357289541722e-05	4	3.942277789668986e-06
96	9.216600045830457e-06	1	7.865008057662778e-07
97	8.000172574256878e-06	0	0.0
98	1.3858365450762048e-05	6	5.8586409359889525e-06
99	1.1090753704028473e-05	4	3.4390158782189748e-06
100	1.0851126367723272e-05	5	2.9325407804531165e-06
101	9.202390085945619e-06	3	1.916784617173512e-06
102	8.181512462529675e-06	2	1.228467452780868e-06
103	1.0982259021067125e-05	2	1.977261119518674e-06
104	1.2019611915803006e-05	6	4.228525992217049e-06
105	1.0169975986715427e-05	3	2.66393651653571e-06
106	1.4244201670216975e-05	5	7.680658660707611e-06
107	1.2079729934476575e-05	4	5.4092062841896805e-06
108	1.540481581566506e-05	3	7.328204492849962e-06
