	A_tot	Perf_tot	Perf_area
0	1.0345407224218847e-05	5	3.4577927677392496e-06
1	8.0019918428676e-06	1	4.60880375786248e-07
2	9.149710107529661e-06	2	2.043664053393945e-06
3	1.265989238493067e-05	7	6.686391445541944e-06
4	8.903976343088655e-06	4	1.8155631878683617e-06
5	1.0505182345106281e-05	4	3.0896817285722292e-06
6	1.0295961061964527e-05	5	2.6701638249082865e-06
7	1.063429202450835e-05	5	3.98637115199818e-06
8	1.0314325203955729e-05	5	4.305061890983145e-06
9	1.211875796412014e-05	5	4.153304625536643e-06
10	1.1829984829519789e-05	2	2.1805822724971922e-06
11	7.644217379908577e-06	3	1.5134370902122087e-06
12	9.99400119631551e-06	3	1.7188804181674428e-06
13	7.892715588298764e-06	2	1.0106087604325805e-06
14	1.0097640669185079e-05	3	2.421490839955764e-06
15	1.5362073653784968e-05	5	5.263353061659968e-06
16	1.0082308152028042e-05	2	1.9627590270824525e-06
17	8.887033921879833e-06	5	2.6673102759114964e-06
18	9.291082013209463e-06	3	1.7775204693290532e-06
19	9.491106858061866e-06	5	2.3594543031117965e-06
20	7.718021385396907e-06	3	1.5738577112746855e-06
21	7.622662093069869e-06	3	1.2834130733045864e-06
22	1.0476746263849643e-05	3	2.354610578142407e-06
23	6.3557852965913275e-06	1	3.093590005986759e-07
24	1.5089483058405922e-05	4	7.505597913605948e-06
25	1.389910115376458e-05	4	6.152228534143999e-06
26	1.0820291312335513e-05	3	1.5190540171518996e-06
27	6.354570813663725e-06	0	0.0
28	8.708992709234206e-06	4	2.378138981579091e-06
29	9.170143110745887e-06	3	1.688842955165872e-06
30	9.399468552541197e-06	2	1.8062944779429437e-06
31	1.0916016444051045e-05	6	4.686372701416971e-06
32	1.5817491539198275e-05	4	7.781474204842367e-06
33	9.287361099609442e-06	1	4.827223767080353e-07
34	8.956461608061513e-06	3	3.0839766394860966e-06
35	1.1859292628164806e-05	4	4.748216385802257e-06
36	1.1576731927844861e-05	7	4.990648406229279e-06
37	1.3529480651467333e-05	5	4.781258938397493e-06
38	8.150155671183277e-06	3	1.5263290447168722e-06
39	1.386849664133436e-05	5	5.316593251622411e-06
40	9.7040424596979e-06	5	3.2914307940179415e-06
41	8.456040299896246e-06	2	1.570642184294508e-06
42	8.42881924291319e-06	3	1.392153890404698e-06
43	1.0984564942816988e-05	4	4.020653076687344e-06
44	1.1680485511030347e-05	4	3.737802480898012e-06
45	1.0144025845279638e-05	5	2.528367260028228e-06
46	1.0669581830112063e-05	6	4.0558063058918635e-06
47	1.1023849406801388e-05	6	3.968645247281613e-06
48	1.1208920633759712e-05	6	3.7201251047059323e-06
49	1.2996455448081729e-05	5	5.974610711901842e-06
50	9.243635193489086e-06	3	3.3781408209566426e-06
51	1.0650456044689267e-05	5	3.923842452608716e-06
52	1.228444507990856e-05	3	3.545157627662146e-06
53	9.426175985691187e-06	4	1.7545009882844587e-06
