	A_tot	Perf_tot	Perf_area
0	5.981704842889935e-06	31	3.4142223355357904e-06
1	6.3122745366324105e-06	31	3.802030369663711e-06
2	7.146911492603341e-06	29	4.564735517784207e-06
3	6.048880743454093e-06	28	3.3662515587127444e-06
4	7.613471368810384e-06	32	5.201463390674251e-06
5	5.334156360103779e-06	31	3.1189793079868037e-06
6	6.532177414674998e-06	29	4.022230143720811e-06
7	5.843781535043812e-06	31	3.4441553828169935e-06
8	5.019527144218031e-06	26	2.473117206972341e-06
9	4.941610503692174e-06	28	2.6692306307391435e-06
10	4.327321558007229e-06	26	2.0787777661488215e-06
11	6.675355594117822e-06	25	4.051405927615382e-06
12	4.52266174443244e-06	29	2.424906078257603e-06
13	6.290165358158472e-06	30	3.7512328947840424e-06
14	4.922040332623295e-06	27	2.48093556606977e-06
15	6.902380449882843e-06	25	4.187329017297531e-06
16	6.26067937031933e-06	29	3.826988090036664e-06
17	4.189135344278702e-06	26	1.7077984998231538e-06
18	5.199365713473796e-06	29	2.677243335421355e-06
19	4.731617685537321e-06	21	2.031926825215424e-06
20	5.50700561174769e-06	27	2.785848292330553e-06
21	5.590731189995813e-06	30	3.1681050532633335e-06
22	4.850115155797944e-06	29	2.393914356550666e-06
23	5.2666912512296675e-06	28	2.7073361154424817e-06
24	6.016373631784452e-06	29	3.3270801289289328e-06
25	5.448426918502959e-06	32	3.0337682642320596e-06
26	7.322766607615157e-06	27	4.706357697119918e-06
27	5.664137880609804e-06	23	3.028781416385938e-06
28	4.560474014450044e-06	29	2.3348030504418187e-06
29	5.815773521048006e-06	26	3.100230631095409e-06
30	5.464418684676417e-06	29	3.0177439971551952e-06
31	5.404883216620114e-06	28	2.9246065466928574e-06
32	4.6454451836319684e-06	30	2.3860067732470575e-06
33	4.648438279084993e-06	26	2.4265724529261854e-06
34	5.6734193274523114e-06	29	3.388302483598388e-06
35	5.2207082901173675e-06	29	2.7075279645136735e-06
36	5.590685164241876e-06	30	3.3200037227811284e-06
37	7.2095469805339475e-06	26	4.653307998899902e-06
38	6.13980569690283e-06	27	3.454835429418533e-06
39	4.855528225566992e-06	22	2.438193636996771e-06
40	5.01991252465502e-06	22	2.3294329908451713e-06
41	6.513476218918039e-06	34	4.10384429987741e-06
42	6.487784091638586e-06	32	4.304180388182746e-06
43	4.751784388659609e-06	28	2.4384125564782226e-06
44	5.3424667962527635e-06	31	3.2102820520153877e-06
45	6.3332841209720575e-06	33	3.857594112314087e-06
46	6.641727687433682e-06	27	4.118958854327333e-06
47	8.597757868767516e-06	36	6.328799138997079e-06
48	5.147978822120355e-06	34	3.0025736510370705e-06
49	4.281393454061178e-06	29	2.0834130015600098e-06
50	5.647210337253403e-06	32	3.4561845729790756e-06
51	5.264943112146799e-06	25	2.7577908763776526e-06
52	5.350757351145806e-06	26	2.8960201653629423e-06
53	4.8553293346120624e-06	31	2.7397573869169426e-06
54	5.7933624315582016e-06	36	3.672659022382625e-06
55	6.549115366227271e-06	30	3.997617866269809e-06
56	5.029811073394586e-06	21	2.5601699852768768e-06
57	6.4900189397007714e-06	31	4.223856517424823e-06
58	4.857082312803484e-06	28	2.2531225077808637e-06
59	5.567040379883382e-06	30	3.1461043692205957e-06
60	7.295827721605362e-06	30	4.805143839109486e-06
61	4.76095693599364e-06	27	2.3454331019435372e-06
62	4.408602759684556e-06	26	1.9652125634257986e-06
63	5.5774947715080615e-06	34	3.4453609755329227e-06
64	5.325089670062229e-06	32	3.0122829507764003e-06
65	5.902864815785661e-06	28	3.4921573584589596e-06
66	7.07065410222488e-06	32	4.655595116583282e-06
67	4.568835724901302e-06	27	2.1940277289879156e-06
68	3.992613560004587e-06	15	1.2248464576160087e-06
69	6.249679666841834e-06	34	3.916196344978393e-06
70	5.3699065281853876e-06	31	3.12180053538645e-06
71	5.231358764496418e-06	26	2.8076375827491957e-06
72	5.397057751738248e-06	28	2.7599186885691207e-06
73	4.634171363895774e-06	31	2.419876196287039e-06
74	6.644231809491578e-06	27	3.928549384496148e-06
75	6.480493885693548e-06	24	3.571066051067956e-06
76	6.50602528844811e-06	32	4.153305549797253e-06
77	5.070870083544458e-06	25	2.495750786873921e-06
78	5.582257757590094e-06	32	3.402480818837563e-06
79	4.997639052834791e-06	30	2.7226314157312005e-06
80	5.33731551105346e-06	30	2.8224503482907e-06
81	5.0920776181619415e-06	20	2.5028811792002676e-06
82	5.567484287718863e-06	28	3.09684267340822e-06
83	5.973521402827315e-06	34	3.761265023891446e-06
84	5.641846519927251e-06	28	3.37011831958284e-06
85	5.959581019082602e-06	24	3.510799901599075e-06
86	6.943833742235065e-06	30	4.690645344517232e-06
87	5.282287002242173e-06	34	2.984949410260756e-06
88	5.557609832292899e-06	32	3.2620908616229168e-06
89	5.841392703971458e-06	22	3.337571790470575e-06
90	5.874258589115064e-06	25	3.214887695535809e-06
91	5.84170478220484e-06	32	3.4382437242221693e-06
92	4.8042269524581525e-06	25	2.3083436657430002e-06
93	4.587571543491941e-06	26	2.1362778030113022e-06
94	5.240596973324944e-06	28	2.814455254975934e-06
95	4.79569764122927e-06	27	2.2347883904556137e-06
96	5.7306475519854585e-06	25	3.0627455785442194e-06
97	4.4790303643232424e-06	23	2.028129298790121e-06
98	6.01470927793493e-06	30	3.687025031537681e-06
99	6.042599838328484e-06	30	3.7272805751554198e-06
100	4.821700399916269e-06	24	2.164082902905508e-06
101	5.420677022869748e-06	31	2.951864134893592e-06
102	4.897804367769302e-06	25	2.1500942808607404e-06
103	5.4142578422108165e-06	30	3.0253348202025274e-06
104	5.335804641271092e-06	33	3.281873283699016e-06
105	6.229575694633853e-06	32	3.875941416301342e-06
106	6.0325664423309685e-06	28	3.748246010420648e-06
107	5.664096758837239e-06	30	3.0574765134214368e-06
