	AA_MEAN	AA_STD	CRAT_MEAN	CRAT_STD
0	3.1192382667846307e-09	7.13572155167915e-11	2.107767730408238e-07	2.4219957850462976e-09
1	3.174821682918274e-09	7.83615099567128e-11	2.290780980548242e-07	2.8528672329325494e-09
2	3.224943959394042e-09	8.57763655720998e-11	2.4834974181288146e-07	3.363517318909625e-09
3	3.273813656434817e-09	9.105604609617135e-11	2.703250715241035e-07	3.779788394373527e-09
4	3.4050445884900265e-09	1.0613791090310347e-10	2.932802071549924e-07	4.6528092754597416e-09
5	3.4810127136916087e-09	1.0745943680424272e-10	3.1830553772994187e-07	4.999373151428696e-09
6	3.4890119278023224e-09	1.2175942129562473e-10	3.4603054278228966e-07	6.132776855500625e-09
7	3.808896897365497e-09	1.3749469414895725e-10	3.7648233159167483e-07	6.8476778465617165e-09
8	3.7439970635582175e-09	1.5144923951427373e-10	4.087160247302857e-07	8.317870277443199e-09
9	4.1101818249631124e-09	1.652119197498381e-10	4.434032817359907e-07	9.136857113630264e-09
10	4.163205379900892e-09	1.895284559647863e-10	4.819971461558007e-07	1.1109613341719546e-08
11	4.309580458994225e-09	2.1359665569588643e-10	5.242551170077938e-07	1.3006803380086006e-08
12	4.595234297578493e-09	2.334173936460803e-10	5.688698352774016e-07	1.4695959732613488e-08
13	4.827211656851945e-09	2.6105977478822564e-10	6.165638093259391e-07	1.6853745844153887e-08
14	5.3679184700840165e-09	2.76884914922368e-10	6.703794512949463e-07	1.754010624064922e-08
15	5.148845952744655e-09	3.0864923917828585e-10	7.282883119225515e-07	2.2231726744132326e-08
16	6.06984161835664e-09	3.890068773864241e-10	7.905578318961433e-07	2.5546471540934474e-08
17	6.034437618898756e-09	4.0277702101389817e-10	8.574733878794619e-07	2.881003519445799e-08
18	6.493263863949276e-09	4.708161471018093e-10	9.322815329498017e-07	3.3916457608134386e-08
19	7.675480166531885e-09	5.464723778187598e-10	1.013817806504731e-06	3.616017425183127e-08
20	7.220353971747802e-09	5.515976623551784e-10	1.0993861304304745e-06	4.189685356062772e-08
21	8.778996839929086e-09	6.847526011571022e-10	1.1897355702985155e-06	4.7066891953039864e-08
22	9.232046301137111e-09	8.038443228905017e-10	1.3007546034345987e-06	5.675253433347552e-08
23	9.986679792822024e-09	8.797506789343222e-10	1.4127335120558485e-06	6.258433149350741e-08
24	1.1069646979378355e-08	9.593945115494954e-10	1.5336817601790146e-06	6.737473403055524e-08
25	1.2036204570136285e-08	1.1282416143042095e-09	1.667073782100756e-06	7.929051902806511e-08
26	1.3218224324797207e-08	1.300317867155953e-09	1.8098626707212428e-06	8.935728618512785e-08
27	1.4521003690470688e-08	1.4286086463763214e-09	1.972321181429676e-06	9.775823023399667e-08
28	1.5714273278816914e-08	1.7235786670285323e-09	2.1385008969309144e-06	1.1780846818389232e-07
29	1.7091215207849828e-08	1.8711503878567597e-09	2.306198582047078e-06	1.2835167004863762e-07
30	1.889656519179506e-08	2.1245386208136023e-09	2.515113159973845e-06	1.4105767681441324e-07
31	2.006016830844982e-08	2.387333492415561e-09	2.7323235950907166e-06	1.6408666780785875e-07
32	2.2114556556369933e-08	2.6090091746581515e-09	2.95317977983601e-06	1.7484080963782274e-07
33	2.3136530341792855e-08	2.973315522478566e-09	3.2135457458245722e-06	2.041976840061894e-07
34	2.5393424239650374e-08	3.423928605236321e-09	3.482935115579616e-06	2.4068168168699546e-07
35	2.6658714244060863e-08	3.6157687924612114e-09	3.7804395153469105e-06	2.5840709251859135e-07
36	2.790602362836412e-08	4.168437420890125e-09	4.11872549951629e-06	3.123021329400537e-07
37	3.1514215057615445e-08	4.882935637294792e-09	4.476300861046962e-06	3.4980967447988357e-07
38	3.179225307387211e-08	5.340579822025401e-09	4.8626917625844125e-06	4.120782795924723e-07
39	3.5489676893200106e-08	6.1790998480647595e-09	5.289060013192137e-06	4.6010188919329103e-07
40	3.744928003966905e-08	6.9371337637742595e-09	5.776193231370845e-06	5.428984484673897e-07
41	3.768404019596093e-08	7.305360555325729e-09	6.238696140120967e-06	6.128412716628876e-07
42	4.44049045959822e-08	8.735698320559885e-09	6.756491802177091e-06	6.71890298703772e-07
43	4.452665802872636e-08	9.161086219510973e-09	7.357471686221934e-06	7.745196229009226e-07
44	5.281262188325806e-08	1.0987552677511252e-08	8.011736499447853e-06	8.375641467980348e-07
45	5.550726991546197e-08	1.2192990542904545e-08	8.623027032119846e-06	9.610382893150728e-07
46	5.982425239967235e-08	1.4047333190515888e-08	9.446470480634697e-06	1.1344378606353804e-06
47	6.963837444521531e-08	1.6448929565251034e-08	1.0170901529653304e-05	1.2335323535303858e-06
48	7.41476144034776e-08	1.849821712645963e-08	1.0977932605240031e-05	1.6837055422962217e-06
49	7.470185596598543e-08	1.9017590060091327e-08	1.1775317095906648e-05	1.9001954249166126e-06
50	8.945782389644365e-08	2.230616908874053e-08	1.2886270738887526e-05	2.050785498089363e-06
51	8.89966785735312e-08	2.320625321699749e-08	1.3789091734285828e-05	2.4996523234834533e-06
52	1.0497110901115379e-07	2.788854702860574e-08	1.4762997489336728e-05	3.105715199623609e-06
53	1.1835546033884149e-07	2.8299458663105488e-08	1.4909488214135225e-05	4.054936988355668e-06
54	1.1227329092383976e-07	2.860062494698721e-08	1.5074064462485578e-05	4.922785766097074e-06
55	1.2902485781059006e-07	2.9293038584945292e-08	1.4735749302018912e-05	6.079005379143418e-06
56	1.4180190811180589e-07	3.185613583556812e-08	1.4325181137948454e-05	6.667337118549738e-06
57	1.593068296643601e-07	3.133370348590168e-08	1.2374456344398776e-05	7.730110885985912e-06
58	1.4015014836830234e-07	2.9146376655821188e-08	1.1992036867864775e-05	8.314170942297805e-06
59	1.5124529603214653e-07	2.91352947547838e-08	1.0599336890180064e-05	8.5482192065167e-06
60	1.6359087988360832e-07	2.862470905117032e-08	8.43704118264925e-06	8.272110464813103e-06
61	1.3661523944322206e-07	2.6536427162691058e-08	8.0748876714242e-06	8.79493345920298e-06
62	1.4641363722255146e-07	2.661053090024683e-08	6.514238147399579e-06	8.15930399040588e-06
63	1.6108849707778017e-07	3.0595506656374036e-08	6.0008673971906135e-06	8.092322725325389e-06
64	1.1730453312130605e-07	2.5585383788063086e-08	5.17200761821791e-06	8.850363284266879e-06
65	1.2864792141894372e-07	2.7329307451374502e-08	4.863697545439149e-06	8.590644916730895e-06
66	1.388033267340779e-07	3.023048270830357e-08	3.980933991959113e-06	7.725057099006805e-06
67	1.5425339605606498e-07	3.2563897661371415e-08	3.2650146908418603e-06	7.112032748112516e-06
68	8.267877546459875e-08	2.578589689269879e-08	4.808588100696927e-06	1.0850276595178723e-05
69	9.326026454817267e-08	2.7787961264163465e-08	2.9645160826755984e-06	8.945283798609077e-06
70	1.0391146974617976e-07	3.170181734813789e-08	1.8296544608791544e-06	7.164631100141466e-06
71	1.1203016776279711e-07	3.472941130547665e-08	2.4173406761882953e-06	8.458068022096713e-06
72	1.2338531466438675e-07	4.0761390162989715e-08	1.8672698922165818e-06	7.395663874048255e-06
73	1.2678735599927587e-07	5.026996013021174e-08	1.5383758261752451e-06	6.973764366030187e-06
74	1.1843436820617776e-07	7.281886624195672e-08	8.245874041909035e-07	5.124716070398821e-06
75	1.104939117276891e-07	8.962893037934946e-08	6.406207032946057e-07	4.574634614922177e-06
76	1.0621309871689343e-07	9.88136789663186e-08	2.1988857602711597e-07	2.5021844073639093e-06
77	1.0423998195451822e-07	1.1196241598895414e-07	1.6625049256285052e-07	2.3973125961899512e-06
78	9.0917885025829e-08	1.181380386244161e-07	6.545887193389097e-08	1.4622404362873816e-06
79	8.224571495994149e-08	1.241686765484557e-07	3.552999515754806e-08	1.122995180461383e-06
80	1.0571208002352146e-07	1.7432356841052647e-07	1.4772947452801062e-07	2.0839806935814217e-06
81	9.696966829533458e-08	1.7315109119904276e-07	3.211738505649504e-08	1.0151329452068355e-06
82	7.770145696229148e-08	1.7623195412937224e-07	0.0	0.0
83	6.873767999211115e-08	1.7758649650469146e-07	3.782487341705872e-08	1.1955293087028434e-06
84	6.334951619931647e-08	1.8621175504744699e-07	0.0	0.0
85	5.685925371200245e-08	1.7816380917887867e-07	0.0	0.0
86	4.8573222833130283e-08	1.8116011147858534e-07	0.0	0.0
87	5.331768678353473e-08	2.048767576307833e-07	0.0	0.0
88	4.4692584403656094e-08	1.892312738380536e-07	0.0	0.0
89	3.7854093092943856e-08	1.930182754873019e-07	0.0	0.0
90	2.0765223364484292e-08	1.4494800810935003e-07	0.0	0.0
91	1.597631477793667e-08	1.3814098025369227e-07	0.0	0.0
92	1.4538369797715712e-08	1.3259972743317972e-07	0.0	0.0
93	1.406292175930651e-08	1.3294042597476973e-07	0.0	0.0
94	1.9073902106412327e-08	1.593960366286899e-07	0.0	0.0
95	1.5581626170444976e-08	1.651276288494223e-07	0.0	0.0
96	1.6621238052223916e-08	1.9963716448585036e-07	0.0	0.0
97	1.715945610870999e-08	1.8265094328890858e-07	0.0	0.0
98	9.806048967549706e-09	1.5536748977275403e-07	0.0	0.0
99	3.997135599621551e-09	9.281310392615979e-08	0.0	0.0
100	6.580371435994479e-09	1.5283405372933342e-07	0.0	0.0
101	2.915426542287765e-09	6.546628201601975e-08	0.0	0.0
102	2.212730455258748e-09	6.993768577499516e-08	0.0	0.0
103	1.5328009022157147e-08	2.8134450832985564e-07	0.0	0.0
104	5.39389908756174e-09	1.2049057861937958e-07	0.0	0.0
105	0.0	0.0	0.0	0.0
106	0.0	0.0	0.0	0.0
107	1.5022862478103238e-08	2.885760223450011e-07	0.0	0.0
108	0.0	0.0	0.0	0.0
109	0.0	0.0	0.0	0.0
110	0.0	0.0	0.0	0.0
111	0.0	0.0	0.0	0.0
112	0.0	0.0	0.0	0.0
113	0.0	0.0	0.0	0.0
114	0.0	0.0	0.0	0.0
115	0.0	0.0	0.0	0.0
116	0.0	0.0	0.0	0.0
117	0.0	0.0	0.0	0.0
118	0.0	0.0	0.0	0.0
119	0.0	0.0	0.0	0.0
120	0.0	0.0	0.0	0.0
121	0.0	0.0	0.0	0.0
122	0.0	0.0	0.0	0.0
123	0.0	0.0	0.0	0.0
124	0.0	0.0	0.0	0.0
125	0.0	0.0	0.0	0.0
126	0.0	0.0	0.0	0.0
127	0.0	0.0	0.0	0.0
128	0.0	0.0	0.0	0.0
129	0.0	0.0	0.0	0.0
130	0.0	0.0	0.0	0.0
131	0.0	0.0	0.0	0.0
132	0.0	0.0	0.0	0.0
133	0.0	0.0	0.0	0.0
134	0.0	0.0	0.0	0.0
135	0.0	0.0	0.0	0.0
136	0.0	0.0	0.0	0.0
137	0.0	0.0	0.0	0.0
138	0.0	0.0	0.0	0.0
139	0.0	0.0	0.0	0.0
