mass,diameter,density,flux
5.01E-02,5.76E-01,0.5,3.73E-06
6.31E-02,6.22E-01,0.5,2.75E-06
7.94E-02,6.72E-01,0.5,2.03E-06
1.00E-01,7.26E-01,0.5,1.50E-06
1.26E-01,7.83E-01,0.5,1.10E-06
1.58E-01,8.46E-01,0.5,8.14E-07
2.00E-01,9.13E-01,0.5,6.00E-07
2.51E-01,9.86E-01,0.5,4.42E-07
3.16E-01,1.07E+00,0.5,3.26E-07
3.98E-01,1.15E+00,0.5,2.40E-07
5.01E-01,1.24E+00,0.5,1.77E-07
6.31E-01,1.34E+00,0.5,1.30E-07
7.94E-01,1.45E+00,0.5,9.57E-08
1.00E+00,1.56E+00,0.5,7.05E-08
