	A_tot	Perf_tot	Perf_area
0	8.427643998261432e-06	8	3.523990054853469e-06
1	7.533683428642854e-06	12	2.901161013684701e-06
2	8.566503016318081e-06	8	2.7948315034578907e-06
3	1.0465718853117694e-05	15	5.145027955274282e-06
4	8.011783193297086e-06	9	2.6355003955296788e-06
5	8.91415696647264e-06	11	4.00851213271902e-06
6	7.291090042875323e-06	10	3.055564113821358e-06
7	7.75985617623195e-06	10	3.460137850460447e-06
8	8.527419804007925e-06	12	4.019421681957775e-06
9	7.008156754457031e-06	7	2.1867079511027213e-06
10	9.617406553280717e-06	12	4.891571772563162e-06
11	7.498430552825985e-06	10	2.952003290702087e-06
12	1.0063610118351428e-05	8	4.744218916879854e-06
13	6.415075025942651e-06	7	1.4090425128258303e-06
14	7.151759510796211e-06	12	2.740214063516871e-06
15	1.0045599475455834e-05	12	5.141810920473117e-06
16	6.8087714117538615e-06	6	1.6178178439900583e-06
17	9.030612596919838e-06	14	4.671236649467639e-06
18	1.270869613355492e-05	7	8.180524215286806e-06
19	7.792628295583269e-06	10	3.033025153635793e-06
20	1.1875547438049032e-05	10	6.971996939773734e-06
21	8.03197184449705e-06	9	3.060241458090939e-06
22	7.597282363262452e-06	7	2.0539036473669937e-06
23	7.053776421745781e-06	8	2.235830178289016e-06
24	6.814304688942863e-06	11	2.6808078073258827e-06
25	7.746589534244593e-06	8	2.463090410712189e-06
26	7.619758480617685e-06	8	2.0760675417763042e-06
27	8.857229041169155e-06	11	3.718565445648013e-06
28	1.093138773460253e-05	6	5.517026173225348e-06
29	7.791642886965631e-06	11	3.0316548439922295e-06
30	6.213973319106876e-06	9	1.95077862449961e-06
31	7.464604910450779e-06	11	3.0514638022767114e-06
32	7.811882796576041e-06	10	2.8934267865867737e-06
33	8.52273576513303e-06	9	3.86978334736634e-06
34	8.133490816662197e-06	13	3.2878938237845317e-06
35	9.155122414867327e-06	13	4.286152342358937e-06
36	6.9171985343407025e-06	11	2.3437730822481966e-06
37	1.131151848015353e-05	16	6.946266025178073e-06
38	9.588703432725724e-06	8	4.3579617128784965e-06
39	6.6960557162541175e-06	11	2.668756742546899e-06
40	6.555469636608729e-06	8	2.207941172383031e-06
41	9.923777222177144e-06	10	4.846371021915504e-06
42	1.3495620125352052e-05	12	8.521206919554611e-06
43	7.892526991884713e-06	11	3.4400288182334815e-06
44	7.037296484797895e-06	9	2.3887032408137975e-06
45	7.340852947514748e-06	7	2.889041217124971e-06
46	7.581944988870657e-06	11	3.0767433941560957e-06
47	7.917328173021593e-06	7	2.664937947845067e-06
48	6.778340313196501e-06	5	1.1234860655754368e-06
49	6.893038164830986e-06	7	2.4024356196453995e-06
50	8.904411096001507e-06	11	4.315416007542098e-06
51	1.107512643589597e-05	10	5.980263840160992e-06
52	8.186479571607904e-06	11	3.5410390053822956e-06
53	8.457552936589457e-06	11	3.7764957187392795e-06
54	8.72707703679685e-06	9	3.2140057406241397e-06
55	6.932893546734297e-06	9	2.768780833196758e-06
56	7.360345715094074e-06	9	2.5985455368760233e-06
57	7.812611445383382e-06	11	3.909227018864908e-06
58	7.937003164164875e-06	6	2.9990719966398905e-06
59	8.798392428029079e-06	11	4.248098984286541e-06
60	7.918951004920734e-06	9	3.1488821587236964e-06
61	7.925013229921053e-06	7	2.233939050501445e-06
62	7.004807617672529e-06	10	2.393157678886332e-06
63	7.771249681229506e-06	10	2.859360416270082e-06
64	9.936851179653436e-06	11	5.108408137424642e-06
65	7.723055844026788e-06	7	2.6150270790500457e-06
66	6.811351677392442e-06	5	1.5342525580085609e-06
67	7.38036845308872e-06	8	2.4759425583666415e-06
68	9.39060296006166e-06	8	3.5426708193600327e-06
69	1.0532318506522668e-05	10	5.836939966265861e-06
70	8.159100874570733e-06	10	3.7302761133022706e-06
71	7.345151265577812e-06	8	2.470266384905491e-06
72	1.0646860293809295e-05	12	5.961248966255539e-06
73	7.237622745602656e-06	10	2.8242545650667094e-06
74	9.089974124388393e-06	8	3.935998153387563e-06
75	9.758944840207657e-06	12	4.994170296387073e-06
76	7.632368090552925e-06	10	2.5762252953322076e-06
77	1.1231476636620283e-05	12	5.92728253525015e-06
78	7.063987816049803e-06	11	2.864684438570189e-06
79	8.200335161058926e-06	9	3.2294716302352515e-06
80	8.379697664350608e-06	11	3.886830161968489e-06
81	9.213303750009965e-06	11	4.3873131349117885e-06
82	7.4192620871085e-06	11	2.392718948994468e-06
83	6.095145388373324e-06	7	1.5624966882535556e-06
84	7.635542257964128e-06	9	3.240811769757919e-06
85	6.519046725579026e-06	10	2.331757730421432e-06
86	6.506380728631573e-06	7	1.8054412388634878e-06
87	7.892393338796887e-06	8	2.7537343421076446e-06
88	1.046460035809003e-05	11	5.5144169693514925e-06
89	7.4160868907550576e-06	10	2.9071236460499454e-06
90	1.2364911148845557e-05	11	7.1530063875536296e-06
91	8.517119134940206e-06	14	4.637346670819995e-06
92	8.173404605995183e-06	11	3.3491634769982712e-06
93	7.007119705077906e-06	13	2.9355915424959555e-06
94	7.698636926716086e-06	9	2.7152943899571167e-06
95	8.42736419921496e-06	10	2.9309997743605885e-06
