	AA_MEAN	AA_STD	CRAT_MEAN	CRAT_STD
0	3.1214929694054626e-09	7.212392637225415e-11	2.1085562005288312e-07	2.4570103265546794e-09
1	3.175341672387764e-09	7.852526689873413e-11	2.2909630497839497e-07	2.864861257177293e-09
2	3.2294334000306838e-09	8.596544212837103e-11	2.4853962778144565e-07	3.342563944633874e-09
3	3.2726327213454347e-09	9.524482707438396e-11	2.7023151876692307e-07	3.961880667457394e-09
4	3.4041179364065673e-09	1.033954731216665e-10	2.93237060824534e-07	4.503848034643998e-09
5	3.4840483930558834e-09	1.1576676190171666e-10	3.1843435847377497e-07	5.357815613984736e-09
6	3.4881550583867865e-09	1.2543722923040698e-10	3.4604574582232005e-07	6.263990888759042e-09
7	3.803755478803953e-09	1.4162894367848086e-10	3.760993169027044e-07	7.09144789941307e-09
8	3.7395213052002615e-09	1.526532004112142e-10	4.085272179643773e-07	8.409225470012688e-09
9	4.110954966446486e-09	1.7397953629196365e-10	4.433610876329732e-07	9.441157665069207e-09
10	4.165586366463082e-09	1.893223116556357e-10	4.820183346176324e-07	1.105504665186446e-08
11	4.305106035329289e-09	2.0849004173964227e-10	5.238521156869488e-07	1.2785842964932148e-08
12	4.589928586693707e-09	2.3340180279972435e-10	5.687386222799503e-07	1.4588408850882759e-08
13	4.832671563331096e-09	2.6170755470048983e-10	6.168712139922572e-07	1.6736853511305608e-08
14	5.370203972489368e-09	2.9846854535452737e-10	6.703688262327684e-07	1.883167309900433e-08
15	5.156811331372197e-09	3.211516862615252e-10	7.286907615273049e-07	2.2985055139155127e-08
16	6.071849349132032e-09	3.781493844767071e-10	7.908417742701124e-07	2.4879733144204808e-08
17	6.064484492808515e-09	4.07348855580732e-10	8.591450015875663e-07	2.9153967607516826e-08
18	6.516604483456975e-09	4.5873556946494486e-10	9.340705508252379e-07	3.312393790639017e-08
19	7.668809090066962e-09	5.457809623824485e-10	1.013291204842096e-06	3.635977622272287e-08
20	7.2345844532505235e-09	5.711497365175071e-10	1.1001533682672985e-06	4.3894990427416836e-08
21	8.802383615195728e-09	6.83326448336506e-10	1.1916886036042545e-06	4.679805933780379e-08
22	9.224056611912576e-09	7.49787853589322e-10	1.3008023683146522e-06	5.3420331059050076e-08
23	9.961806765231847e-09	8.539562739221346e-10	1.4107549784279114e-06	6.110865943883431e-08
24	1.1061088779764167e-08	9.77333848772427e-10	1.533054880071996e-06	6.854076583330371e-08
25	1.2078082329961842e-08	1.1285326321737028e-09	1.6698228379037173e-06	7.91670659623047e-08
26	1.3152632899377865e-08	1.2720705188560419e-09	1.8056737224161144e-06	8.796377791489743e-08
27	1.4475799057852513e-08	1.4244376582167926e-09	1.9692449689712607e-06	9.79513440354205e-08
28	1.5621780433640054e-08	1.6413323895316018e-09	2.1321961513547232e-06	1.1269210416508938e-07
29	1.7119187094809774e-08	1.8381119248301275e-09	2.308634824541744e-06	1.253971768943445e-07
30	1.885701605189442e-08	2.094789521627039e-09	2.512439816115779e-06	1.4054828321006615e-07
31	2.001587068021612e-08	2.37947205379999e-09	2.7280113748380827e-06	1.6338217852789005e-07
32	2.2253036933420225e-08	2.6718834544008547e-09	2.960718054207759e-06	1.793972492677997e-07
33	2.3212089472466334e-08	2.9815825193231917e-09	3.2187122587777096e-06	2.0888361804818876e-07
34	2.5515921874473502e-08	3.398950771677023e-09	3.492820031374487e-06	2.3452465103729687e-07
35	2.684882095092076e-08	3.800980370473101e-09	3.7913555843519283e-06	2.7225337777991934e-07
36	2.793451874691761e-08	4.155226691148058e-09	4.121998923731405e-06	3.106420556197041e-07
37	3.1456027977828274e-08	4.8420538066795614e-09	4.478223227761901e-06	3.4738674493275653e-07
38	3.190066773861176e-08	5.296927489261865e-09	4.871046223213281e-06	4.0684558562977264e-07
39	3.533168589661797e-08	6.052764426907854e-09	5.274734645931969e-06	4.5571411476616993e-07
40	3.69035594946676e-08	6.628169309599298e-09	5.738488074495084e-06	5.223368558699946e-07
41	3.77635497562448e-08	7.406321940824576e-09	6.237096499470883e-06	6.184720456094007e-07
42	4.453771871765678e-08	8.585374497533702e-09	6.773794246937251e-06	6.594303147402175e-07
43	4.444046703259727e-08	9.575350606036315e-09	7.354071157682937e-06	8.023438692585667e-07
44	5.24948848140879e-08	1.119834722716552e-08	7.993444912930688e-06	8.610798169503045e-07
45	5.614808385117755e-08	1.2460933956989752e-08	8.668791334292147e-06	9.722682646159432e-07
46	6.00788071535751e-08	1.4210591527645161e-08	9.452422994417464e-06	1.130686521658413e-06
47	7.077067429140993e-08	1.654967442846498e-08	1.0260762864275702e-05	1.211463786877924e-06
48	7.358088270963071e-08	1.8032284399042555e-08	1.1102587442332498e-05	1.3786109439776971e-06
49	7.630059335002438e-08	2.031463002289559e-08	1.2078013269874356e-05	1.6193210129957873e-06
50	8.994211286279646e-08	2.3841790881012483e-08	1.3120740649655643e-05	1.7615352396930223e-06
51	9.034232496878544e-08	2.5815172774128387e-08	1.4195108310916763e-05	2.0416191149786375e-06
52	1.0786561179564288e-07	3.1193869700916716e-08	1.550628013953599e-05	2.2648377605970956e-06
53	1.2669002106065677e-07	3.6966918532975686e-08	1.681004354054384e-05	2.465839342807082e-06
54	1.2471330923109396e-07	3.9672480245842505e-08	1.8265659101230762e-05	2.9385925652848984e-06
55	1.4709157332970119e-07	4.588762854750566e-08	1.9835798689578733e-05	3.171103295825046e-06
56	1.7185687221289068e-07	5.3013302970882574e-08	2.1410798732650522e-05	3.4634701559604284e-06
57	2.0333909420117156e-07	6.129124225655526e-08	2.3188192670728658e-05	3.916377706860422e-06
58	1.9097467636053845e-07	6.307790883292865e-08	2.5007263216783886e-05	4.839521536523117e-06
59	2.2184383965205682e-07	7.180735367014012e-08	2.6865214548079387e-05	5.381615087755112e-06
60	2.6049402799751605e-07	8.288920836754053e-08	2.891310786039125e-05	6.0517784536348104e-06
