	AA_MEAN	AA_STD	CRAT_MEAN	CRAT_STD
0	3.1259451326600528e-09	7.015377376180673e-11	2.1098664519782178e-07	2.4110962057156597e-09
1	3.1721899686197925e-09	7.72873340242025e-11	2.2896479350335174e-07	2.841077672559172e-09
2	3.2325034076663397e-09	8.467622255094028e-11	2.4865440425513335e-07	3.2614359481742372e-09
3	3.269768386425778e-09	9.492654625090946e-11	2.7012578543940745e-07	3.971813111828791e-09
4	3.400311669667642e-09	1.0156324680581364e-10	2.9301164845070723e-07	4.471953097045888e-09
5	3.4925250722898153e-09	1.2043584217333752e-10	3.187882413386088e-07	5.503370381350617e-09
6	3.4866748698433542e-09	1.238841972539776e-10	3.45974445966862e-07	6.179013311777321e-09
7	3.80444124758673e-09	1.505327988275808e-10	3.761050218917402e-07	7.431871422455933e-09
8	3.748961043648617e-09	1.4977853605653653e-10	4.090458033874214e-07	8.300572374970693e-09
9	4.109236228364482e-09	1.765165784522165e-10	4.431641508999966e-07	9.598931763310566e-09
10	4.165267431231145e-09	1.8586922299120378e-10	4.818192629626816e-07	1.075347398968374e-08
11	4.315701648757113e-09	2.1546760031494306e-10	5.247347647331202e-07	1.322588861929895e-08
12	4.591398687887709e-09	2.3637416465132417e-10	5.687567619738414e-07	1.4753523965456888e-08
13	4.819042477196198e-09	2.637418215919493e-10	6.157571996140274e-07	1.676401132369532e-08
14	5.350018873283263e-09	3.0260361263541576e-10	6.691521028744502e-07	1.9101278254369605e-08
15	5.155363148136795e-09	3.226101954724903e-10	7.286916900627641e-07	2.2961665092372993e-08
16	6.090229034651669e-09	3.7386986440483584e-10	7.918525185398666e-07	2.4589164765432518e-08
17	6.05374289111796e-09	4.1251818802091154e-10	8.585552239090266e-07	2.9347893419387325e-08
18	6.515482333338457e-09	4.811244540659232e-10	9.340855075263085e-07	3.503718939903515e-08
19	7.668149591983046e-09	5.500051509883465e-10	1.0135934755381932e-06	3.661051278924514e-08
20	7.2482127329001756e-09	5.868622326526946e-10	1.1011588767381575e-06	4.564951076765019e-08
21	8.816244153804998e-09	7.005044916339053e-10	1.1923997890045975e-06	4.7032273208191445e-08
22	9.21345526628892e-09	7.46810271592859e-10	1.2996674112344482e-06	5.35658725011354e-08
23	9.927928506640105e-09	8.492757968772348e-10	1.4087671013111984e-06	6.176817629815829e-08
24	1.1025229341488519e-08	9.96303501660257e-10	1.5310944945050434e-06	6.968339001874202e-08
25	1.2049088592107062e-08	1.0989440388169464e-09	1.6675677849704507e-06	7.638553068690563e-08
26	1.313587428680115e-08	1.2988702292894013e-09	1.8044520897379787e-06	8.942661259740893e-08
27	1.4457859788060867e-08	1.469456072749792e-09	1.966819820026055e-06	1.0078311426678072e-07
28	1.557474475145485e-08	1.6519704291241724e-09	2.1305963041945153e-06	1.1443633640327074e-07
29	1.714401605558432e-08	1.8831954329972252e-09	2.3075266008135238e-06	1.2718748162702208e-07
30	1.8919842352058772e-08	2.1243914844126193e-09	2.5156566195354593e-06	1.4276751638424704e-07
31	1.99115516456729e-08	2.308470202079413e-09	2.722746435341576e-06	1.5976781157256953e-07
32	2.2219089010338878e-08	2.7444778028991747e-09	2.95627667879085e-06	1.8340302768741338e-07
33	2.3080630722979742e-08	2.9826687445060335e-09	3.2092938586045823e-06	2.0868689308057232e-07
34	2.555404514365827e-08	3.373917343951575e-09	3.498738393447571e-06	2.3355138004419085e-07
