	A_tot	Perf_tot	Perf_area
0	4.716022764493304e-06	34	2.568007330258049e-06
1	6.6051876449398935e-06	34	4.284719953518982e-06
2	4.352088407170825e-06	24	2.181694927898764e-06
3	4.857370593687238e-06	35	2.7011712998085512e-06
4	5.3421394663857e-06	32	2.7889321787174853e-06
5	6.056465206073798e-06	28	3.4670134571342005e-06
6	5.000500793611036e-06	25	2.503572115081626e-06
7	4.7648641281051865e-06	28	2.3509273066955783e-06
8	5.031076881979378e-06	27	2.7428476066894123e-06
9	6.581011131330189e-06	35	4.342599134683881e-06
10	5.994792906797348e-06	25	3.4471067032944556e-06
11	4.739891704256708e-06	26	2.1075467706210757e-06
12	4.739287646751182e-06	32	2.2515829590131437e-06
13	4.902871639675056e-06	26	2.3172528806363415e-06
14	4.875491146837893e-06	27	2.4366578129025735e-06
15	5.539260101619052e-06	31	3.174874841849817e-06
16	4.675310068207794e-06	24	2.288375930258259e-06
17	5.732922530233478e-06	28	3.3215256528027803e-06
18	5.804680215750231e-06	32	3.428590671417582e-06
19	5.71695545525696e-06	32	3.3617319158297397e-06
20	7.307866603379249e-06	29	4.854311844491053e-06
21	4.898564948769565e-06	24	2.295521730345921e-06
22	4.114154915156136e-06	26	1.9365520784093823e-06
23	6.125446052126402e-06	28	3.6594594137161853e-06
24	4.3019235732905705e-06	29	1.925982339264776e-06
25	5.936857932294674e-06	26	3.1599983004001295e-06
26	4.216123777753553e-06	23	1.7054580409837575e-06
27	1.44317094093058e-05	30	1.1985115544697321e-05
28	5.284278267159595e-06	29	2.771309715647328e-06
29	5.019501662958372e-06	29	2.7498977722521673e-06
30	5.430139098749175e-06	28	3.0236696976912086e-06
31	5.670242762074027e-06	31	3.3159245761477434e-06
32	6.242174595950538e-06	32	4.104250538979913e-06
33	5.198107319286463e-06	24	2.621807385281945e-06
34	7.056467140918966e-06	32	4.611389069589138e-06
35	4.5501389654984734e-06	25	1.990894845393304e-06
36	4.806353243098731e-06	28	2.513859164848326e-06
37	5.166488998717813e-06	21	2.563209265380011e-06
38	5.4089883460563735e-06	32	3.1246160207806008e-06
39	6.0267036003161e-06	29	3.6077024194418333e-06
40	6.468088489361349e-06	29	4.047457733710067e-06
41	6.09611177316715e-06	28	3.4664030695484305e-06
42	4.810122235709847e-06	31	2.468083177040059e-06
43	4.721480555786514e-06	33	2.5247039375511147e-06
44	4.57512061490043e-06	27	2.14126286381244e-06
45	5.200792163170234e-06	31	2.664021688775091e-06
46	4.765228307442128e-06	28	2.331310757163262e-06
47	6.307329708021524e-06	33	4.02507014039448e-06
48	4.570690257058405e-06	22	2.060167117642571e-06
49	4.927467943106674e-06	28	2.505628253782279e-06
50	5.263077821127431e-06	26	2.6870160387715727e-06
51	4.987890614859257e-06	26	2.3518166477823844e-06
52	4.934054084819249e-06	30	2.5153374950392867e-06
53	4.348834191129033e-06	29	2.0823531370850064e-06
54	5.038829364368811e-06	28	2.872775668538728e-06
55	5.451045685246437e-06	29	2.9909327823176405e-06
56	5.719753210642184e-06	31	3.4911636871855432e-06
57	4.258396777203427e-06	23	1.6948562223990388e-06
58	4.522743038103482e-06	25	2.0154463730030012e-06
59	6.0039399335416515e-06	27	3.4060895482211117e-06
60	5.218814617018782e-06	26	2.634174497269135e-06
61	6.732942460487181e-06	34	4.523009983190156e-06
62	6.204334664039708e-06	30	3.951959429711034e-06
63	5.10948713622085e-06	32	2.710324422349558e-06
64	4.548252708140964e-06	28	2.08052276435857e-06
65	5.5842879044769424e-06	28	3.1115797908750314e-06
66	5.380522876283728e-06	22	2.845943882864701e-06
67	6.052780092360259e-06	31	3.6699678267656945e-06
68	4.96813339507489e-06	28	2.6323907073309343e-06
69	4.791028986851941e-06	28	2.4418389844156438e-06
70	5.316795921383091e-06	30	2.7868548372728555e-06
71	4.612941405029358e-06	29	2.351410915979192e-06
72	7.230563253077496e-06	31	4.718276316526828e-06
73	4.6204429579063826e-06	24	2.075107859445062e-06
74	3.867496420620736e-06	18	1.3936317040240383e-06
75	4.5791663028901606e-06	27	1.9839260052582747e-06
76	7.365028029872243e-06	30	4.901187467924055e-06
77	5.6252052075329e-06	37	3.3784193677796318e-06
78	7.131815700829377e-06	30	4.754761268639408e-06
79	4.866403015592889e-06	26	2.3078040285212094e-06
80	5.059666978526231e-06	26	2.4416885206712674e-06
81	5.42254662804508e-06	29	2.9646818751222923e-06
82	6.690247420443935e-06	34	4.396481840333602e-06
83	4.956942706868413e-06	23	2.4324148491159882e-06
84	5.552176635402045e-06	27	3.218160218009006e-06
85	6.32524751697553e-06	34	4.045432936443083e-06
86	4.3483710030119505e-06	24	1.8275679248561042e-06
87	5.867489617353459e-06	36	3.5114341731338182e-06
88	4.5216894794300385e-06	28	2.0223462124351213e-06
89	6.883161288987877e-06	28	4.451303583450179e-06
90	6.24945369432615e-06	26	3.5608331854029364e-06
91	5.850133819262469e-06	30	3.2713251481003227e-06
92	5.51635560903886e-06	31	3.2420633502108495e-06
93	6.899860793550936e-06	29	4.277849470078588e-06
94	6.536591927470293e-06	32	4.206129706926263e-06
95	5.782826750592552e-06	29	3.1923682078895113e-06
96	6.063399327047622e-06	26	3.566472990970102e-06
97	6.84090347948261e-06	33	4.439656951739533e-06
98	5.322052231266725e-06	33	2.936035657418675e-06
99	4.3663806603054926e-06	23	1.8025513888058146e-06
100	4.530064179486964e-06	28	2.1548683385295426e-06
101	6.396331540479233e-06	32	4.05212173662404e-06
102	5.494987531332504e-06	30	3.2257558382214265e-06
103	5.419222719757314e-06	24	2.979965194479668e-06
104	4.747807717746223e-06	26	2.342747088671555e-06
105	4.198255135793784e-06	27	1.9000049554370081e-06
106	4.769063158005526e-06	29	2.4205431210192234e-06
107	5.631118118767675e-06	26	3.1954391957945084e-06
108	4.847965868669357e-06	30	2.3343565472423e-06
109	5.501007430253347e-06	22	2.8694471202757815e-06
110	5.154708806437799e-06	34	3.0193304409230465e-06
111	4.656136461071329e-06	25	2.074456408037852e-06
112	4.876453713568945e-06	30	2.6611344865519137e-06
113	5.334536969619814e-06	32	3.1732896382985703e-06
114	5.099385583385958e-06	31	2.8937378564743753e-06
115	5.76493508616811e-06	25	3.1146624067810586e-06
116	5.612861130425009e-06	33	3.374504488448969e-06
117	5.303736713387076e-06	31	2.9425195693507575e-06
118	4.824870062238193e-06	31	2.4299994907414686e-06
119	6.225935509224163e-06	28	3.8548509662589205e-06
120	6.0920130089329924e-06	32	3.5459749545981196e-06
121	4.802527711789154e-06	24	2.2794444954063826e-06
122	4.944412154292788e-06	30	2.6195942596316074e-06
123	5.119099652164837e-06	29	2.7025992063282063e-06
