	AA_MEAN	AA_STD	CRAT_MEAN	CRAT_STD
0	3.1216586996965676e-09	7.156210487938747e-11	2.108683008650104e-07	2.4328265541981595e-09
1	3.1751129383024534e-09	7.906234039034701e-11	2.290952333256501e-07	2.888134665293707e-09
2	3.2312251153899446e-09	8.559162980881521e-11	2.4860891131981785e-07	3.3283103801586256e-09
3	3.2744759557169136e-09	9.534318084540142e-11	2.703136856582029e-07	3.9801602823850645e-09
4	3.4048617974387886e-09	1.0326180464759283e-10	2.932690515227201e-07	4.495994444571802e-09
5	3.486643237301111e-09	1.1475795605658782e-10	3.1856622828689424e-07	5.286983233549079e-09
6	3.491074746803802e-09	1.247226719390204e-10	3.4618637922901087e-07	6.2491159904474015e-09
7	3.801935015681171e-09	1.4346354966286032e-10	3.7603714897444724e-07	7.176605066326753e-09
8	3.740110691331013e-09	1.527014909938907e-10	4.0853284949798325e-07	8.452902807409598e-09
9	4.112291178341323e-09	1.713955893367946e-10	4.434516460272284e-07	9.337694345260685e-09
10	4.162330090285774e-09	1.880401248836366e-10	4.818839174328826e-07	1.1043832233554728e-08
11	4.306922573655583e-09	2.0910749642093375e-10	5.240537904436223e-07	1.2865461531905767e-08
12	4.588578273771778e-09	2.3402413330302553e-10	5.685929702837349e-07	1.4628574930224974e-08
13	4.835789567220792e-09	2.574927494356357e-10	6.17067738483818e-07	1.6588433105274726e-08
14	5.369068770338826e-09	2.9895253753989013e-10	6.702997049202193e-07	1.8862046765972783e-08
15	5.144958174234864e-09	3.2268324221758176e-10	7.279061861207152e-07	2.3016443772607208e-08
16	6.065045379234411e-09	3.7625873313357743e-10	7.903086176295234e-07	2.4745838202975035e-08
17	6.060439124814692e-09	4.034259493130027e-10	8.588578065192186e-07	2.884942563674094e-08
18	6.5062710922023595e-09	4.5971932985977087e-10	9.334603293234184e-07	3.3287477950470303e-08
19	7.677461206655187e-09	5.405618695346483e-10	1.0138634501837895e-06	3.608409787218692e-08
20	7.238553697574429e-09	5.844742720860615e-10	1.1005452802338461e-06	4.4767535135835274e-08
21	8.81454359727979e-09	6.86950610058122e-10	1.1923310413032787e-06	4.6986720799953406e-08
22	9.214579720688787e-09	7.626633232568928e-10	1.2996708691897618e-06	5.415384891204786e-08
23	9.951366133493092e-09	8.526632470726225e-10	1.4100823416031718e-06	6.053693714756831e-08
24	1.105412764130942e-08	9.746950150384322e-10	1.5324923543529895e-06	6.842265260291821e-08
25	1.2071308342823e-08	1.128991232101136e-09	1.6692489128787586e-06	7.898026608105654e-08
26	1.3175077456659955e-08	1.2692256907199102e-09	1.8074518242049053e-06	8.770669751579238e-08
27	1.4454986687991933e-08	1.439957936131911e-09	1.9677503158082836e-06	9.903823235216212e-08
28	1.560424702600227e-08	1.610555888680641e-09	2.1309222176372096e-06	1.1135746847912026e-07
29	1.7093455772242184e-08	1.856647441453761e-09	2.3069281024748356e-06	1.266653075246683e-07
30	1.8851406065747926e-08	2.103940957877739e-09	2.5127164468500944e-06	1.418234780431249e-07
31	2.0045025074226036e-08	2.3524812283844303e-09	2.730233068835549e-06	1.6211869612867471e-07
32	2.2246069573933522e-08	2.7074824553864978e-09	2.959686065755258e-06	1.814682436817333e-07
33	2.32262611389485e-08	2.9719390819971213e-09	3.220354284979802e-06	2.0749298187316156e-07
34	2.5523604652396625e-08	3.397179292703313e-09	3.494533992534588e-06	2.3567068466896345e-07
35	2.686422447192741e-08	3.784189240542441e-09	3.792019249059214e-06	2.6998130264376865e-07
36	2.789709390466932e-08	4.179626569234717e-09	4.120554248106713e-06	3.1233628904397354e-07
37	3.14863874929443e-08	4.819387919544381e-09	4.481414881989789e-06	3.453993752666285e-07
38	3.179803371954097e-08	5.310803703606358e-09	4.863349436846976e-06	4.1119190637711283e-07
39	3.535923898656025e-08	5.992710774539371e-09	5.277255636577147e-06	4.5083060156788e-07
40	3.694116319331741e-08	6.7526301338986e-09	5.741068849693577e-06	5.331882734201863e-07
41	3.792098695229552e-08	7.417263099394117e-09	6.249814169991829e-06	6.175500620356238e-07
42	4.466779578101986e-08	8.751445352009356e-09	6.7810669769491375e-06	6.725251426694817e-07
43	4.451795137305402e-08	9.56350698968181e-09	7.356395646978656e-06	7.977098998928481e-07
44	5.242216334212204e-08	1.1126729163831738e-08	7.990353627513162e-06	8.586833534950869e-07
45	5.630719856354962e-08	1.2409996229937358e-08	8.683986802791876e-06	9.681955641067491e-07
46	5.944656204898565e-08	1.3979583539946341e-08	9.401608402567055e-06	1.1256779364508037e-06
47	7.024841744576943e-08	1.6161219967416226e-08	1.0201534210578129e-05	1.2485641087201354e-06
48	7.338790387702719e-08	1.789250516877789e-08	1.1009368837089849e-05	1.5130834937028772e-06
49	7.527830756978187e-08	1.9282322778624965e-08	1.1880468087661952e-05	1.808714685105998e-06
50	8.860412431649187e-08	2.215773258873161e-08	1.2795712370280988e-05	2.125672536811268e-06
51	8.839098461576572e-08	2.3574928554171115e-08	1.3744845844343562e-05	2.5401470812194942e-06
52	1.0454704607837728e-07	2.6561212927114364e-08	1.4630867896070204e-05	3.126125412305741e-06
53	1.1955502206423386e-07	2.8971230969367645e-08	1.496324897796675e-05	4.0137212287054985e-06
54	1.1372521186155389e-07	2.8707020191178384e-08	1.5118923460857563e-05	5.154197239722895e-06
55	1.2844169998904474e-07	3.025136699947222e-08	1.4626158185431937e-05	6.284361067544262e-06
56	1.4463332408297223e-07	3.188307522327457e-08	1.4264859882136302e-05	7.0571988146689715e-06
57	1.590645906652206e-07	3.1994732621333094e-08	1.2718768850631826e-05	7.755905351223846e-06
58	1.3982283145655279e-07	2.9165235941754457e-08	1.1707088437498727e-05	8.403340791613627e-06
59	1.5156339854701804e-07	2.93664222759085e-08	1.0171570223147041e-05	8.471346880885067e-06
60	1.6487556941820018e-07	2.950094626699377e-08	8.556488565803376e-06	8.30921704180738e-06
61	1.3670189078619676e-07	2.6994805496376843e-08	8.363032304673045e-06	9.020700498234846e-06
62	1.46897999890963e-07	2.6885732928164315e-08	6.285265754597191e-06	8.158449801392666e-06
63	1.6132396231067423e-07	2.883981351516412e-08	5.838231501988077e-06	8.016796925272019e-06
64	1.174570452302374e-07	2.5199615764446825e-08	5.597355350500735e-06	8.954581436955282e-06
65	1.285537775459998e-07	2.6891594793997822e-08	4.579376249266028e-06	8.282062081290429e-06
66	1.4133348960846407e-07	2.910138179042536e-08	3.955160574033078e-06	7.877670147389617e-06
67	1.536032454039326e-07	3.230992188738768e-08	3.152162880706949e-06	7.078023507947793e-06
68	8.385580323040182e-08	2.5701998851528502e-08	4.255452451652588e-06	1.0369135702797742e-05
69	9.215373560557556e-08	2.810851338437656e-08	3.099652515934305e-06	9.036172547115457e-06
70	1.0088345849962204e-07	3.171154564658323e-08	2.219299012006192e-06	7.7546386899999e-06
71	1.1100852068266416e-07	3.428692044442821e-08	2.432774676756217e-06	8.449392540523715e-06
72	1.2261716820929752e-07	3.921383450271465e-08	1.6597669553942232e-06	7.0064251611865485e-06
73	1.2794645837119228e-07	5.098219744315523e-08	1.5616599764082513e-06	7.039149595469263e-06
74	1.2104734889254252e-07	7.266984490974558e-08	8.634285660570265e-07	5.188269267437324e-06
75	1.1402415881087639e-07	8.779641812794142e-08	6.45705971173116e-07	4.672453410603039e-06
76	1.0648203431970221e-07	9.929817554765731e-08	2.4396504089195395e-07	2.7848507206292893e-06
77	1.0252012532313041e-07	1.099014681990023e-07	2.5567857618131004e-07	2.923903408591575e-06
78	9.056225727732442e-08	1.1830417678102797e-07	9.006587035130138e-08	1.660216240577592e-06
79	8.445431037955578e-08	1.249144991972181e-07	1.1198453348568625e-07	1.936535494350387e-06
80	9.93694064241179e-08	1.69912650514634e-07	4.768332526819127e-08	1.1377587942234578e-06
81	9.064031434299477e-08	1.7470782708639129e-07	6.323845194148533e-08	1.4159738607096846e-06
82	8.286459491733837e-08	1.794868404822367e-07	1.6396858340118416e-08	7.394969499735676e-07
83	7.30125961592154e-08	1.8028513868616212e-07	4.56522223955513e-08	1.2778347168983e-06
84	6.459390230839055e-08	1.8186429249782585e-07	2.8437896461177135e-09	2.843647453080492e-07
85	5.759927546387184e-08	1.8085386962813162e-07	6.1596804654568625e-09	4.3551162501042124e-07
86	5.390575505889517e-08	1.894013325335874e-07	1.0061397068569899e-08	5.808078898056154e-07
87	4.919914964735117e-08	1.8858851642469844e-07	1.0888047719167424e-08	6.285274278288006e-07
88	3.789212936003524e-08	1.714657080901252e-07	0.0	0.0
89	3.5420764691144885e-08	1.7684796720991246e-07	0.0	0.0
90	2.9357243129680053e-08	1.7188918127346904e-07	0.0	0.0
91	2.7048609775319443e-08	1.7397530594892277e-07	0.0	0.0
92	2.4871539093327772e-08	1.8141065941052552e-07	0.0	0.0
93	1.883344121938207e-08	1.5965676287085315e-07	0.0	0.0
94	1.4741758982111e-08	1.469219815392831e-07	0.0	0.0
95	1.5213762824003326e-08	1.5876498885281439e-07	0.0	0.0
